,price,type,address,url,agent_url,postcode,full_postcode,number_bedrooms,search_date,available_date,lat_lon,closest_aldi,closest_sainsburys,closest_tesco,closest_superdrug,closest_asda,closest_lidl,closest_boots,minutes_from_TCR
63,1560,1 bedroom flat,"Brixton Road, Oval",http://www.rightmove.co.uk/properties/124704806#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Keating-Estates/Brixton-106135.html,,,1,2022-07-06 15:58:10.018939,2022-07-22 00:00:00.000000,"51.4810144,-0.1108806",3.85,1.73,3.39,2.94,2.87,1.07,3.33,22
64,1400,2 bedroom flat,"High Road Leyton, London, E15",http://www.rightmove.co.uk/properties/106586873#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Hills-Estate/Ilford-152342.html,E15,,2,2022-07-06 15:58:10.018939,2022-01-08 00:00:00.000000,"51.574316,-0.010795",1.47,5.27,7.3,5.34,1.36,4.8,8.01,38
65,1550,2 bedroom flat,"Swan House, Stratford. E15",http://www.rightmove.co.uk/properties/124704461#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Outlook/Stratford-Lettings-224522.html,E15,,2,2022-07-06 15:58:10.018939,2022-08-31 00:00:00.000000,"51.496593,-0.194582",3.34,4.96,5.47,3.68,4.04,5.03,3.85,30
66,1495,1 bedroom flat,"West End Lane, West Hampstead, NW6",http://www.rightmove.co.uk/properties/124700870#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/ML-Estates/London-45180.html,NW6,,1,2022-07-06 15:58:10.018939,2022-01-08 00:00:00.000000,"51.5467548,-0.1911081",0.77,3.55,4.01,4.65,8.84,3.42,3.63,22
67,1450,2 bedroom flat,"Clementina Road, E10",http://www.rightmove.co.uk/properties/124700252#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Portico/Leyton-247505.html,E10,,2,2022-07-06 15:58:10.018939,2022-07-23 00:00:00.000000,"51.5658803,-0.0310646",0.36,3.58,5.62,3.65,1.87,3.23,6.38,48
68,1700,2 bedroom flat,"Kemerton Road, London, SE5",http://www.rightmove.co.uk/properties/124700102#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/OpenRent/London-96668.html,SE5,,2,2022-07-06 15:58:10.018939,2022-07-25 00:00:00.000000,"51.46996,-0.138436",5.84,3.89,4.76,4.72,1.92,1.3,4.59,30
69,1695,1 bedroom apartment,"Dunstan House, Stepney Green, London, E1",http://www.rightmove.co.uk/properties/124699949#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Atkinson-McLeod/City---Lettings-40110.html,E1,,1,2022-07-06 15:58:10.018939,2022-07-10 00:00:00.000000,"51.519912,-0.04776",3.51,3.56,3.13,1.47,0.29,1.46,2.46,27
70,1650,1 bedroom flat,"Glengall Road, Kilburn, NW6",http://www.rightmove.co.uk/properties/124699850#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Paramount/London---Lettings-62636.html,NW6,,1,2022-07-06 15:58:10.018939,2022-08-27 00:00:00.000000,"51.5389957,-0.2010713",0.39,4.17,4.75,4.53,8.57,4.22,4.17,37
71,1750,1 bedroom flat,Mill Lane London NW6,http://www.rightmove.co.uk/properties/124699856#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Hamptons-Lettings/West-Hampstead-210116.html,NW6,,1,2022-07-06 15:58:10.018939,2022-07-15 00:00:00.000000,"51.551963,-0.1950933",1.28,3.97,4.34,5.27,8.93,3.73,4.09,25
72,1550,1 bedroom apartment,"Basset Court, Smithfield Square, Hornsey, N8",http://www.rightmove.co.uk/properties/124698707#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Philip-Alexander/N8-73781.html,N8,,1,2022-07-06 15:58:10.018939,2022-09-07 00:00:00.000000,"51.513263,-0.089878",3.82,1.3,0.13,0.33,2.05,2.43,0.72,15
